7879	956f	3b91	be21
8a85	2c68	e683	651e
463a	81f4	b58d	3238
0478	5785	8b3e	9847
0e72	4535	b7f5	88cf
0ce3	4d79	8b8c	b5b8
a072	1717	d9d6	8bdf
dce0	bb53	a3f5	875b
f939	7aac	bced	350e
e605	3ee7	9dea	df03
3a48	d11e	539f	bc73
b3f1	7748	f9a7	9f85
328e	0adf	7ba1	6d75
109e	47dd	f740	e022
a047	75b8	55c5	60c3
8846	85a5	a217	cfb3
9b48	ca07	6830	ec47
1252	81be	8fd3	34e1
e047	1ed2	8fc7	c6ba
acf2	6887	3cec	6cc8
fe86	0a81	e340	d635
af04	73aa	b873	c0ba
e5de	a4da	e823	c9d1
a668	3ab3	e4c2	96c7
bddd	c252	df28	d620
ddb8	224e	5d8c	f21c
2ca9	1f08	5c47	6f2e
6ccd	d149	664e	09dc
4a83	922f	ba10	bd0a
9379	f700	04ea	b12b
fc87	66ee	a8fb	84c1
d2dc	7c20	bc3c	f400
6f1a	8646	2d84	1e20
b6f6	2389	b6a1	55fb
38e8	086b	af1d	6458
8fc1	0d38	0792	3177
ddc5	375f	3d99	26bd
b1c6	fb93	5bca	2830
a9f3	d04c	d04a	56eb
7f5a	e806	01f7	19f5
de22	4b51	9220	227a
128b	29d6	a4f1	3a76
dfe7	daf4	f7eb	771b
48b5	9426	7ecc	0b78
d07e	b439	9016	3ade
bfa6	d7ed	76fa	da43
bd2d	8400	6064	26a1
12fc	348b	8376	6cf2
15a3	ed9b	ef4f	8de9
8085	0537	96e3	04f2
edf7	05db	656c	9007
e4b0	ca2f	6ab0	ea0d
b290	e4be	5c3f	40bd
a8a4	23b5	c227	49c6
26de	fe68	e329	e478
424c	ccf1	e1ec	3018
38ba	47ff	26e6	93fe
c6b5	7a33	4645	72b8
00db	2bbe	5a92	d09f
3a14	20bc	b817	a52e
e0a5	ad1f	4883	1341
8e7e	8214	8017	2870
27b5	3326	4e37	c443
f508	6363	5e26	59d0
64f0	21ea	7bc9	e6db
bbdf	7ce2	d086	4260
aedc	21f4	1a8b	9c36
0504	e7a1	0442	9aa7
3229	e2a8	d4cc	60d7
7fa5	7e10	96cf	35c9
8fc6	27e2	a902	6eb3
a6ad	4d57	d033	18ff
6055	c3f9	5f50	4671
9324	178f	45e5	6fb5
eb13	bd9d	58a5	8dd9
fd1c	639b	81d9	0d05
6e88	d654	e1ca	38cd
e254	3208	ed55	a88e
9194	4627	537f	70fb
d433	d607	eecc	cd9d
9b5e	8941	87d4	ee11
4c68	4d3f	84b4	5384
49d7	a724	9b26	d60e
4597	a88d	25d3	a324
be2a	b5e5	9d83	5968
4ae6	d058	5efa	1ddc
6a93	0ce6	5409	1950
77f6	2a68	7e78	6f7f
d9d4	cf0a	c4ab	0ef7
fce9	2901	e8db	62d8
2317	3850	87ef	8957
c655	f7d5	e885	28b6
75f5	24e5	299e	eb78
329d	8dca	7dfc	e6e3
8814	e9a4	2e13	6497
7c1b	77f8	ed21	d149
cafc	5dd5	00b7	2eb6
feb8	ad93	fcfa	09fd
fc3e	f7b0	dc50	0d0a
17b4	8287	5a8e	7cab
2d9c	a321	2da8	903c
4f79	85fd	a09e	c974
9c1f	ba03	8ab6	5b00
5191	0eb2	aaa5	6cb6
0d47	5755	df31	9cc6
7be9	2629	7f95	1396
c370	c770	958a	0164
173c	6515	4acc	9c1a
f4b0	31a8	d241	cbc3
e022	f65a	538f	e29f
dbe8	22a7	21ac	c278
e37e	dc95	d3b7	2969
ad5a	1596	0b83	f6ee
e464	73cc	241e	501e
f711	3653	ebb3	eeac
90ce	4c5d	2e22	5844
a11b	8252	3b0e	c8c6
d1c1	d3fc	24c0	d028
6012	e890	069e	b44b
3d37	0691	ccaf	3f55
87b2	cc33	0f32	50d6
685e	60c5	d3a9	af7e
f961	71af	00af	5b30
c46c	a2c3	ef2a	4f3e
2fea	0b85	74d9	8a3a
0c66	f45f	b77a	29bc
e487	45c1	a217	07d4
75a9	a309	0a5f	0379
8a54	09ba	709c	51c7
966f	88e9	c613	8449
128e	be5b	eaac	fc1f
6514	d0fd	fcaf	ddae
88cb	1a79	cfe7	2e5d
35b6	6fec	745f	bfb2
4ece	3fb6	555e	6b84
3ba4	13b7	da70	126c
0455	193e	9a11	17a6
19bb	fa08	187f	7658
78d5	344a	fb0e	fac9
756b	1771	1ace	3e2c
a3c9	2f3b	0e13	7663
15e7	0b6c	0828	d560
7d3d	237c	cc4e	befa
8c9a	4032	d9ba	5880
d8d3	5412	9ef9	ce24
4b4b	21d5	6a8b	91b4
5a6b	8c3a	cb63	c363
ee94	52ad	b395	506e
4111	9df0	5a2e	f5de
8ef3	e420	8d1c	5ee4
4426	6987	24f7	bf58
700c	f7e1	5726	0b67
bf3e	8c9b	0c21	d71a
6164	90c5	9288	0748
939f	1048	3f17	f4f1
1cd3	47e4	766c	9653
e321	b19d	ee54	e68c
9d15	d9a3	acdc	04e7
7420	707b	5230	6d67
bf6b	4281	5ebf	34a3
2c21	b8f4	a26c	cef0
2564	f6cb	44e0	96b4
0ee1	d175	17a8	fa49
f202	1fb2	20ad	2d6c
f67a	ba0f	9ad2	4be9
5084	fe20	c2c5	f19e
4d36	3fa1	11b4	2904
84d9	bde4	28d0	5bfc
808e	5878	fcec	b964
657e	7ab2	9dd8	9034
d05f	f06f	adab	1e64
3b1c	99fc	6f15	ae02
9f47	33ec	5a58	73bc
6e14	ba7d	d4a3	401a
80ec	3be5	386c	e963
addd	b903	20d7	d0d5
6021	750b	14f5	71c7
c3e7	a29a	26bc	8f3c
6d11	c528	41d7	21ab
46fd	7d6a	2103	ed65
8686	9628	fd77	83f8
59ee	fa8c	63c4	67cc
40c9	740c	dac5	1682
9735	d37e	1071	86ba
0629	e398	fba6	8d18
9c2f	2275	f4f5	86e4
776f	d798	f12f	895d
23d1	304a	f057	7b63
f680	fbed	f704	480b
c9a4	c470	ef7e	d131
87ed	c622	db56	0873
dbcb	706e	e8f0	3dfc
3a54	9b0d	bd93	dc85
987e	654c	0542	e519
be2e	6ef1	cef8	469d
61e3	e219	3528	292f
2a1a	2d72	8c18	5eef
6a3f	ab92	1df4	78fa
c9fb	3620	9212	67ea
3133	db2e	fc23	3d2c
abe9	ac4f	8f58	03a1
22bc	4478	0245	e3df
727f	9f52	b589	8f3f
8788	3ea5	a27f	4dd0
cb46	2c64	9a84	b804
8b73	bd84	e745	8ff2
fade	6452	47e4	07a6
1ee0	478f	1900	3ed3
e340	8a0a	925d	a3d9
275e	7adc	4d6e	4482
a7fb	82b4	e890	2c31
e6fa	1d71	1704	9c29
e6f5	75b4	93fa	f85e
f054	6091	2456	a892
9fa5	da1f	d215	494b
b6c3	0c21	ecee	ec20
d25b	b432	52db	339b
19c6	6708	1b4d	65d7
b837	9fae	3a77	f3fe
95d1	117b	53da	f898
71c9	7afc	f3a2	bd04
b9b9	63e6	088e	cc50
14af	30f7	fa40	9bd8
c1c6	48d4	2ddb	3198
9f89	f97b	6a59	c859
7c9c	b283	c2f9	b601
95df	d51d	6848	b855
d03d	ee3e	ad3b	576e
1282	1f04	e23c	3af8
a179	8af8	79ee	0f87
1cd7	9f3c	273a	94a4
dc0a	ebff	99b9	59b4
9f15	eb92	ef24	6e57
b12c	f29a	1c44	fcd4
1068	e094	7f9f	1505
983e	6ceb	f5fc	c6ca
8116	40a3	cfc8	c0ee
c384	4230	a4f1	6929
aa50	920c	3e20	d50b
59bb	8ac1	d0dc	1b66
1fa8	aa8a	779d	edf5
6a7b	edf4	5320	4571
b2e6	1c0c	bd57	0268
8d24	d7e2	b4fc	572e
5477	14e6	da3d	3ed1
9365	4a8e	33e8	8f21
6f48	89a5	9a41	b011
c088	336c	fa75	d3f6
7c6b	c241	d151	7a99
ec68	1a4e	b7de	18a5
1e45	2d11	a60b	e030
bbb8	008d	6941	c884
1854	84c1	5ea2	0a77
5d82	5b56	3dae	df38
55a1	a977	181f	e00e
eca6	b83b	10ec	e745
744e	5667	f140	769d
6eb4	4531	e821	cdac
bb4e	391e	1669	1ea2
3d4f	e282	f6a4	7c7e
2039	c176	003a	f21e
be49	779c	6f12	5831
dad5	193b	aa06	26ef
4ea0	42b6	f047	904a
fe4d	dc83	bf07	eafe
37a5	751d	e562	5f0d
55cb	1f0c	c318	002c
6ccc	558f	36b0	1cdf
b330	1354	b86a	a19c
7ef6	694a	c165	4a43
a556	4d08	0597	3418
cdec	ba54	6774	7921
4cac	deac	6e49	c973
95fb	8dbd	90c3	5de3
fc62	debc	4db3	6951
7219	be03	1bbb	c45d
ca7c	a580	d41e	9c28
4f9f	2184	b547	2fc8
b8a5	1038	ddf1	fb94
4f91	f798	e797	f401
00d5	e5e4	615d	ed0c
9285	504e	f199	e772
8c8d	1e84	4eaf	f452
8ccb	3f11	efae	4231
4bc3	dc39	eb74	b090
1f17	ba21	a2c2	3173
eeec	bac9	6246	61b5
9fda	48a7	dd6f	6122
26a3	bb85	a896	5b2c
91a4	ce04	6d13	639b
f4ee	6dfa	0d74	c479
474a	e6aa	eb87	bff5
00e8	b7c7	9762	b50e
3691	58b0	4094	26c6
3811	f97d	a9f7	8d41
00cc	cdc0	dda5	b377
8446	dfc8	62b4	8fab
7c21	6f52	0c8f	b015
4a47	3fe3	a3a9	451d
87d1	7ef5	f971	0515
2754	1e50	2622	f30d
2f0f	30f4	f215	9f29
e471	9376	0ec8	6cf9
a0f2	2222	02a7	d596
bd1e	6122	ae5b	1d56
a0c5	6389	e4e2	2ad0
6067	948e	1ced	d709
27e2	dc1e	9787	9f04
6a46	d147	2d3f	b405
c9ac	07b2	86a2	2a3e
d9c8	2fd5	f825	238d
8d9c	e83b	73a8	ae1b
84bb	f3b8	bf6f	bf83
cc9f	1ab8	38c9	9779
2161	efb0	7878	e14b
f617	cac1	4cb4	d1a3
7660	6bb0	b4f5	b68b
8d2d	0c3e	fa85	9c07
68bd	b4dd	f8b2	4a37
263f	1a57	d1a7	21a1
6a7e	320c	94be	c1e8
4a4a	1590	87b9	3446
8c93	8c42	188a	06cc
31f2	565d	32cb	830a
b976	c41c	383a	a27c
fca8	8992	2d32	4c91
f85d	12c0	ac97	6766
eb46	cc2e	4f25	2b2d
077a	db83	8fd9	56cd
47bb	cc89	f7c1	83f3
1c78	7820	2d3a	af12
b14f	05d5	081d	9a68
0075	d767	8e73	350e
5573	83b7	8249	3382
8d4a	8462	dc39	3c75
0cee	8f38	32fb	2358
4490	6021	362b	f0bc
df7f	1109	0ce5	49ee
9a8a	e08a	e641	de80
0c11	d0a0	823f	8108
d6db	8a89	192b	818f
318a	ece0	a6d7	dcd6
affc	f1a8	b63c	e995
049b	e3a9	3503	c9d5
aca7	3635	3358	4b4c
2a84	91c5	9c0e	2eea
3bac	4b45	bc1d	2901
4b6e	1197	4ed3	9b7f
f08e	7d6e	ccf2	1074
c7a9	0c38	d242	59a2
4e87	8cab	59d5	a37e
349a	d71c	8850	9f0b
9c6e	3651	ab3e	0c70
b4e4	fe0c	e68d	4267
3b7d	b776	2a32	4bd2
3978	df3a	7020	ba8e
66d9	5727	f77c	3b15
81a9	52e6	aaa9	c196
c67c	34dc	3311	6b49
5a0f	7367	f295	e828
2e89	7741	d24d	b537
3423	9848	f8f5	477a
ebe5	d873	46f1	7ce8
71a2	875a	c94d	fbc5
1f9a	49a3	68f5	357f
7744	6c72	4f83	135d
75a3	260e	96ea	7e4f
6716	17b4	e6b7	929c
332f	22ca	766b	f81c
1b01	49f1	6d3c	1502
7553	34a2	9f40	d53d
480b	e280	92fd	c573
1f2c	c2a6	29de	c051
5143	a701	bb2f	713e
7a5c	459e	28a0	a90e
c1b1	7ea1	c06f	b0a9
23f7	899d	d4dd	5a17
63ec	c911	fa63	26b5
8d64	7401	e07d	a1d9
0c06	aea8	5ff5	1572
c012	cc1b	586b	5bb6
1ac4	2dee	8860	2c40
145e	0c38	9394	9c04
fee7	e99d	5cd8	6b6b
af69	f0ff	90a9	e0a4
9afb	3a63	4abd	7a98
afc8	17e7	70e0	f2f7
2d35	681a	c0b4	1397
ed62	89a7	65af	880a
8286	a617	fb4f	5c2c
d6a5	1ad5	e369	718f
cd44	7648	92cc	d7a9
ac57	196a	b274	cf11
6f3e	cbed	072a	9a1e
5e89	187d	1312	94fc
7418	4f31	e285	cdc2
6cb5	8d1c	a58c	27bf
e921	d2bf	3815	d573
4062	398c	b818	4a91
e612	2704	7b61	3e71
e2e7	829c	038d	14aa
8920	616f	047b	bea0
2220	0dfb	eab3	6948
3850	3aa6	c6b8	9418
f60f	55ee	562e	dc5d
7f7e	fc12	c0d4	b761
b840	b6ea	273a	ee3f
c0a1	7e16	17b8	0b4d
a783	a3e6	d4b7	be99
75aa	e736	ae6e	baba
a0e8	ba82	8635	fd57
24d6	bf33	92e3	d1b5
69d5	bf47	41b4	5886
97fc	cc6b	f0bf	a1be
ae9c	88b0	eb2d	90fa
7762	2dfe	fce3	fb3f
e59a	a719	4031	e12d
f06c	84d5	82dd	b5ce
c130	004d	84c7	dea0
d53d	0ae8	51bb	ed2f
2f01	cca3	cf9c	0273
c4d6	d0b0	c7df	ffcd
737f	a9a5	c4f8	a776
2dd3	81c0	9667	0a73
cdb9	ef6a	cbed	5c2b
ea65	eb6b	2a48	18fb
0f5c	80e7	2682	8ac6
fd8e	bbbb	d39c	6ae0
ea08	7942	9ae7	2a48
5d75	fdb7	8e33	22d6
5136	072a	1e0c	591e
405b	3d2d	2160	3724
37e9	39dc	c901	27a6
dbef	4946	dfae	b247
331f	e8e7	bf8c	fe35
cf95	3381	f1bb	8326
c447	c8cd	03d8	99bb
7e83	3f5a	13e9	1174
8fda	2f9f	2f76	1653
88fa	844c	b975	358b
4c9e	5133	a708	854c
3794	e5e8	8697	2897
8ca2	f318	e5fd	49ed
0a8c	092b	0d28	643e
4513	36d3	81fa	0f0a
c2e2	90fd	23d6	3a2b
dc99	4bb4	13bb	3fd2
61a8	bd42	7789	8774
bb84	13ba	a4cd	fa46
2341	0cf5	c70d	6e09
525a	01ab	60ac	a54f
2500	affb	ce5b	da67
aead	c91d	0032	d6f2
b6b6	b4fb	02ee	08cb
ca66	d034	ec1c	ae28
35b4	2d36	5ea2	70ce
d478	c302	0077	dfd9
4061	5fe9	0db2	a8a1
23bc	4bf7	e25d	f579
cd18	51a3	322c	d50c
a3cf	8bc9	fd0a	ec02
d2a3	e162	62c3	9797
dedb	7dac	05bf	0354
fe59	ed16	6c29	480c
d087	d06c	e87d	174b
9a02	16ac	5128	7bd4
aada	d0bf	4383	1ea5
e1f2	b62f	a7dc	48e7
d955	5e7b	a620	098c
9830	3f22	ff71	e6fb
1eb2	5261	6510	1f8f
695e	adf8	ae0f	8d1e
10b9	d77f	5316	84d9
a211	39af	e4bb	1898
22d6	e1fd	9b15	df11
d471	bd62	4914	0cfd
48a3	e4d7	34da	3737
a72d	fbde	4e00	41f2
1d8a	a484	4279	8e91
f581	1faa	2cb3	65cd
9c1c	9ef1	ed1f	7de8
ee2f	42d8	a02f	1f6d
ba26	5aa5	8d58	14f6
58d4	e3ec	7fac	4fe1
2a71	bcfd	2d38	448b
0d7c	e1b8	f094	656f
d802	1974	18cc	541e
462e	7fb0	fbd1	39aa
f763	a9d6	1a31	3bd4
c478	2f76	2bf5	5ede
45df	dbb9	0790	479a
ac87	1522	f2bd	6668
ec69	ae8b	72c2	04c0
115b	548a	6010	29e6
7b32	a078	7ec5	57da
40d6	e49e	d53b	789c
7505	f714	d79e	d457
48c2	cd04	96c4	0f4c
3d18	3c25	a74e	cae2
eb99	d9ac	eed5	a752
978c	b46f	01c6	7282
9588	dd0d	59db	e261
f22c	a0a5	4ad1	e0e5
34dc	3a1d	2569	24b7
837d	ae6c	3a7a	b89f
bcc5	38f4	12aa	b2da
5ff1	03db	e6aa	820d
a428	597f	5704	dab2
dcfb	9486	a151	fb06
d9fd	7d8a	742a	16fa
dc28	ce59	848d	4ba7
f12a	a738	9372	fe5b
a882	30e7	e914	2bf1
bc91	c78d	d1c4	4b70
1800	66ba	8734	267a
0fb0	9f14	fe89	e8f6
6743	c08b	2ae0	3c40
42b5	8ab1	23e8	56c6
a197	2403	c2d5	5e53
471d	44cc	ea47	030d
6ad6	bd34	1935	4b1c
5139	e16d	7b2f	216d
8185	d201	2384	d1e6
0332	d7f4	44e3	a449
77f1	a862	44c0	ff1c
a40a	3551	4ef2	8abc
30f1	8e81	3d0c	7219
501c	a6b3	410a	f37d
f293	461f	b34e	926e
1666	0a93	88a2	e734
0eb9	18e1	6431	b851
17de	affa	d929	fc51
e9bd	a332	8d39	2999
9a31	ab9e	394b	36c6
b71c	c345	f441	90b0
1fe5	268a	d0db	8264
3443	e1ce	44a9	a6d7
f55c	ea61	bc8f	82d8
4e51	1464	2697	b2ff
4114	c930	0319	8df4
1a79	1fd5	8801	031c
ad48	0fee	57ac	5d00
0776	6f8a	63d8	57ae
15c8	cddb	1db1	63eb
b97d	e419	a79a	c32f
dd8d	2ae1	af75	0b4f
9e8a	b9f8	09f1	a8c6
1973	df3e	1039	cbe3
019f	e315	9832	5c9b
a8e3	9d19	4c36	aaf2
df31	40c8	e908	c6e9
9e0d	0444	ab10	ddb1
1449	d26a	fa9d	bf44
65db	a302	97c2	342e
c3e7	16ce	fcb6	302d
881d	4f57	0d58	de41
0905	5eea	0139	2abb
b0ef	34bf	54dc	709e
011e	d4a7	4012	f60a
2045	0875	9af7	e6c1
ba5d	250c	bf4c	79e3
e073	20c7	2b67	6f6f
ef98	555a	0d00	fbb6
157e	4e77	aece	10c7
5a3a	e82c	af02	5914
1b3e	0422	8e6d	4ee2
c64d	2e5c	4e11	a151
6055	6d66	88c6	edf0
a960	b541	812b	ba80
80d4	0568	b3b9	feca
142b	7975	5796	d5e3
16cd	7102	2e8c	5beb
2f87	3403	6ebd	3966
bedd	0e88	edb2	ca2f
c57f	c6fe	fc95	6d68
d002	f516	3d33	3b21
f0c9	97f5	61bf	3e33
32f7	53f1	dcc3	555f
8c73	27ba	8cec	9627
63ee	4823	d1f4	12a0
ea88	c8c9	67aa	787f
0468	68bf	216c	731f
ff9e	cad4	f7fa	6356
718e	3543	126d	1582
471b	e8ee	da2e	8c54
cb22	e669	0760	e8b7
9d36	008e	190b	214f
7be3	c4e3	79a8	a098
db8d	8661	5b8e	f8fd
3c2b	56b7	3a44	bf57
62a1	666b	9ae1	89c1
cb7f	1221	9f02	c538
0498	c4a0	0f4b	e6d4
d977	a394	8b60	2c8b
65b6	0291	5822	1a0b
011b	5114	0bcf	b0c4
76cf	7bbe	620c	1743
e0c4	af16	09e1	fb7f
7f34	d300	da67	4f2e
fb90	6071	a372	59d4
b422	4104	5a2a	5889
d305	6951	52b0	fe5b
4b75	d0b1	1d9e	d007
7fa0	6506	5596	0b27
1098	3485	4275	6360
ee1a	5dd8	6318	67d8
39bf	0876	a37c	cf4b
d760	a50b	79d6	0309
838e	c8ce	74a7	d154
4d95	7921	2cd1	2913
57d1	7b92	dc24	f5c0
b0ab	f7e5	bf9b	43a3
7170	d100	6714	f8e4
6657	38e4	08bc	de8a
29f0	b327	7a30	dc42
6b39	eaab	0f71	7776
9a9f	a1ab	4b22	2a37
0de2	64d9	1c42	5f11
279e	cf0c	f017	36d0
6b17	b3eb	caa6	0f63
00e6	4a1e	4988	8192
82f0	a916	6556	b2af
c2eb	38d8	d270	e796
dacc	01fe	3a44	d3c5
2235	9481	14fb	6fe4
0f49	63cf	262a	f807
c2dd	c2be	cd36	24ca
567e	23dd	ad47	8238
e273	88c5	c45e	f588
5f3d	7961	9bee	186f
af4a	54db	2c80	c3f4
102c	08af	7043	5d8d
4557	f532	3c07	23c2
8a31	bd1f	0b51	84f6
0490	a68f	6cf7	1f29
1e26	a3ec	3bc5	fb73
4997	cb3a	0023	81e2
9653	bceb	3f0f	3000
4c84	12bc	212b	77e9
7a32	d65c	c9c4	7f08
bd54	9103	6ff7	5cef
2eab	6d7a	3dd4	411e
5882	5576	bb90	85d4
f498	8be0	2d5e	1434
ad99	ee52	3ced	89bd
1274	7d77	9b79	0b4f
b19f	49c0	3465	2cda
eb80	c7a2	bbd7	8c2f
52ab	dc06	01b3	eb2f
41ef	031f	04dc	42e5
e98f	925c	be48	0abf
c77e	2ae1	bbce	bd08
7292	a69c	9faf	d793
bc01	980c	c302	d99c
1996	45fe	d457	e652
d80c	b750	e18c	b3c4
4228	aaa9	7618	402f
6286	ef54	e3cc	46d5
ecd7	1063	3908	12f4
20f0	76a6	8cf8	d8dd
432b	30e6	2e61	6dd0
0962	f53a	07a6	1c65
52ee	d1df	6df7	0dd8
90c9	f570	5609	085b
3aa7	f882	6583	132f
0a9e	7d5d	47e6	05af
aebb	1c32	004b	a940
e1cd	05a2	ddf0	688f
ae64	0384	432e	c543
2b1d	be16	5e7e	707c
f9ee	ce26	f38b	7882
846b	bc76	0426	2f2d
476a	cd74	1bea	bcec
7636	3409	2532	23ab
1e6d	98d4	ed64	924f
e617	dd11	5390	fc5d
c6b5	bd73	86bb	c9d0
0b4e	cc7f	0238	a641
fc3c	6620	49ae	0329
d38d	516b	7adb	d4c8
2972	8e0b	1fee	2c07
8a19	a9a9	457b	2b00
4457	a54c	dc53	ae20
b160	1383	1b26	06e0
d137	3d36	dc7c	2fe6
ae4f	948b	e7ef	8697
f771	6a0f	c643	2788
78f7	fdce	b650	0b7a
da0b	3178	05e6	70af
0e82	a12a	dbe4	4d71
2122	b1fa	ec1e	cf8a
da33	76d1	65c2	2000
34ec	d195	547e	4492
cbbc	8d2f	4309	5d60
74d9	ae34	1941	6014
b9b6	8222	faa3	cb38
cf46	f33e	b82f	4497
d270	00b1	09d6	bd07
b2d7	d2b5	6aaf	9159
c473	1118	fcf7	dc46
7640	882a	f666	e786
e7c0	99dd	ea16	30c0
950c	4a98	e8fd	c2f9
9478	4dea	b40c	f838
7425	f2fc	ddb4	b3ef
5063	3deb	3309	a6cc
8b72	1930	dc8d	7e2f
4637	5ca8	84df	3854
f5cf	7561	1888	b702
dd1e	2235	6528	4b2a
2af2	9d3d	026e	eb43
0d28	25b8	0f4f	da6d
2c02	ae33	5f2d	47e0
2296	45c7	4885	48fa
7eca	58ca	f97a	f3c1
2efd	7152	89d3	cf12
4b38	2fa3	facc	92a4
654e	8269	57b3	7a78
f792	34dd	3aba	d947
e4fc	6e8b	0b57	7a22
7b35	5799	a0dd	0eb4
82b1	f66b	ef8d	6e23
2faf	9339	a77d	8067
7091	5822	9001	23bf
c5e1	27b4	06ab	4fca
7a03	de86	96fa	642a
f473	05c1	14f4	29b5
f325	b66e	7346	019a
d524	5692	ae5c	9410
848b	801b	c073	cde1
6588	4df8	e88a	bf19
dfb3	6a07	8853	d777
2ff1	b4e2	86f1	2935
70c1	f9db	d15b	231d
baea	abb3	24aa	23db
1110	19a7	f987	0c37
0730	dd38	4a93	bb78
c6a0	366c	b78a	57d7
c2f0	13a3	104b	4773
e4fe	55fd	1eae	862b
3dbf	3b30	bd23	07f5
cf87	a9fe	1052	db7d
2f48	9fd8	4f18	5395
919f	a111	bff2	81ea
c3c5	ea3f	7d67	831e
cd23	e60d	f629	5021
fecd	73dd	9009	4314
4237	8e9b	44e3	6e2d
a916	b5e2	69c7	0d85
fc9d	35b0	5293	7655
c9f3	4ac4	20fe	4d7f
b7d4	fd3b	0ba0	337e
cc8c	e19f	7bec	bf0d
d077	9d88	7325	4737
a57f	fe13	e9c7	3402
e8ff	558e	8b98	89ef
bd28	b44b	d6af	5d7f
1d19	7c62	d005	41f4
c4d9	7f07	8554	c8b0
7dbe	3225	0cde	0cd3
6807	b519	41df	74e8
b91a	7271	24fb	41ef
b0f4	ffb4	3b19	d868
a678	9d50	56bd	76d2
7e7b	925b	c30d	52de
c86d	1980	0242	35ff
0cdb	505a	f287	c279
1ba7	5030	3ad1	26d5
cb0c	0b18	0881	a554
e4d4	2ef2	c955	1131
2102	b833	ea58	4bd5
86b5	b4b4	57fd	fd87
8fc1	6e26	028f	1c0d
d6bb	c432	059c	3ce1
0998	0669	d18f	351a
2ba6	2d1f	6db6	2c3a
e8ea	40f5	5e69	6458
e30c	2725	f546	474a
6ab2	08fe	782f	74fa
79b5	1116	6454	4f78
0a78	b3df	a9b4	35d8
3e65	468f	d66f	ee5b
a9df	90bd	8b04	d174
1812	0c3e	09cc	7b50
6513	86f8	ff6c	2b15
8b2d	ab75	9516	d4a5
2cb8	9604	4d03	4680
f87f	e91c	5a8c	49cb
98a5	7f17	d1c6	4b0c
a2cf	4e5c	c6f9	9555
ec25	cae2	5026	82e0
d456	1ac7	2c13	2eee
c339	5e8b	7b3f	690f
405c	74e5	0b83	d76b
076d	67d2	8e35	d6c4
6202	6de7	971f	4145
8f8d	720e	159f	f6cf
f1d7	501f	f914	1d0e
3374	94ab	6b2f	3c5c
